name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
OperatingCashFlow,"49,358,000,000","38,747,000,000","36,314,000,000","29,274,000,000","24,216,000,000","16,108,000,000","8,599,000,000","5,457,000,000","4,222,000,000","1,612,000,000","1,549,000,000","698,000,000"
	CashFlowFromContinuingOperatingActivities,"49,358,000,000","38,747,000,000","36,314,000,000","29,274,000,000","24,216,000,000","16,108,000,000","8,599,000,000","5,457,000,000","4,222,000,000","1,612,000,000","1,549,000,000","698,000,000"
		NetIncomeFromContinuingOperations,"38,957,000,000","29,146,000,000","18,485,000,000","22,112,000,000","15,934,000,000","10,217,000,000","3,688,000,000","2,940,000,000","1,500,000,000","53,000,000",,"606,000,000"
		OperatingGainsLosses,,,,,,,,,,,"4,000,000",
		DepreciationAmortizationDepletion,"7,519,000,000","6,862,000,000","5,741,000,000","4,315,000,000","3,025,000,000","2,342,000,000","1,945,000,000","1,243,000,000","1,011,000,000","649,000,000","323,000,000","139,000,000"
			DepreciationAndAmortization,"7,519,000,000","6,862,000,000","5,741,000,000","4,315,000,000","3,025,000,000","2,342,000,000","1,945,000,000","1,243,000,000","1,011,000,000","649,000,000","323,000,000","139,000,000"
		DeferredTax,"-1,235,000,000","-1,192,000,000","-37,000,000","286,000,000","-377,000,000","-457,000,000","-795,000,000","-210,000,000","-37,000,000","-186,000,000","433,000,000","23,000,000"
			DeferredIncomeTax,"-1,235,000,000","-1,192,000,000","-37,000,000","286,000,000","-377,000,000","-457,000,000","-795,000,000","-210,000,000","-37,000,000","-186,000,000","433,000,000","23,000,000"
		AssetImpairmentCharge,,,,,,,,,"56,000,000","15,000,000",,"3,000,000"
		StockBasedCompensation,"7,885,000,000","6,536,000,000","4,836,000,000","4,152,000,000","3,723,000,000","3,218,000,000","2,960,000,000","1,786,000,000","906,000,000","1,572,000,000","217,000,000","20,000,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,"0","0","0","-16,000,000","-7,000,000","0","-433,000,000","0"
		OtherNonCashItems,"-19,000,000","118,000,000","39,000,000","-64,000,000","24,000,000","30,000,000","17,000,000","-24,000,000","117,000,000",,"1,000,000,000",
		ChangeInWorkingCapital,"-3,749,000,000","-2,723,000,000","7,250,000,000","-1,527,000,000","1,887,000,000","758,000,000","784,000,000","-262,000,000","676,000,000","-491,000,000","5,000,000","-93,000,000"
			ChangeInReceivables,"-3,953,000,000","-1,512,000,000","-1,961,000,000","-1,892,000,000","-1,609,000,000","-1,489,000,000","-973,000,000","-610,000,000","22,000,000","-621,000,000","-174,000,000","-209,000,000"
				ChangesInAccountReceivables,"-3,953,000,000","-1,512,000,000","-1,961,000,000","-1,892,000,000","-1,609,000,000","-1,489,000,000","-973,000,000","-610,000,000","-378,000,000","-170,000,000","-174,000,000","-209,000,000"
			ChangeInPrepaidAssets,"-1,825,000,000","135,000,000","47,000,000","-690,000,000","-192,000,000","-159,000,000","-144,000,000","-123,000,000","-45,000,000","-14,000,000","-31,000,000","-38,000,000"
			ChangeInPayablesAndAccruedExpense,"1,914,000,000","-893,000,000","7,761,000,000","1,795,000,000","447,000,000","1,095,000,000","548,000,000","331,000,000","0","159,000,000","140,000,000","107,000,000"
				ChangeInPayable,"152,000,000","161,000,000","461,000,000","378,000,000","138,000,000","81,000,000","35,000,000","3,000,000","38,000,000","-1,000,000","102,000,000","87,000,000"
					ChangeInAccountPayable,"-51,000,000","-17,000,000","113,000,000","221,000,000","43,000,000","14,000,000","18,000,000","31,000,000","26,000,000","1,000,000","6,000,000","12,000,000"
				ChangeInAccruedExpense,"1,762,000,000","-1,054,000,000","7,300,000,000","1,417,000,000","309,000,000","1,014,000,000","513,000,000","328,000,000","-38,000,000","160,000,000","38,000,000","20,000,000"
			ChangeInOtherCurrentAssets,"-214,000,000","-34,000,000","41,000,000","-159,000,000","154,000,000","14,000,000","-3,000,000","-216,000,000","-142,000,000","2,000,000",,"-6,000,000"
			ChangeInOtherCurrentLiabilities,"211,000,000","-527,000,000","1,239,000,000","-634,000,000","3,083,000,000","1,262,000,000","1,365,000,000","346,000,000","833,000,000","43,000,000",,"16,000,000"
			ChangeInOtherWorkingCapital,"118,000,000","108,000,000","123,000,000","53,000,000","4,000,000","35,000,000","-9,000,000","10,000,000","8,000,000","-60,000,000","70,000,000","37,000,000"
InvestingCashFlow,"-34,841,000,000","-30,059,000,000","-19,864,000,000","-11,603,000,000","-20,038,000,000","-11,739,000,000","-9,434,000,000","-5,913,000,000","-2,624,000,000","-7,024,000,000","-3,023,000,000","-324,000,000"
	CashFlowFromContinuingInvestingActivities,"-34,841,000,000","-30,059,000,000","-19,864,000,000","-11,603,000,000","-20,038,000,000","-11,739,000,000","-9,434,000,000","-5,913,000,000","-2,624,000,000","-7,024,000,000","-3,023,000,000","-324,000,000"
		NetPPEPurchaseAndSale,"-17,186,000,000","-15,115,000,000","-15,102,000,000","-13,915,000,000","-6,733,000,000","-4,491,000,000","-2,523,000,000","-1,831,000,000","-1,362,000,000","-1,235,000,000","-606,000,000","-293,000,000"
			PurchaseOfPPE,"-17,186,000,000","-15,115,000,000","-15,102,000,000","-13,915,000,000","-6,733,000,000","-4,491,000,000","-2,523,000,000","-1,831,000,000","-1,362,000,000","-1,235,000,000","-606,000,000","-293,000,000"
		NetBusinessPurchaseAndSale,"-275,000,000","-388,000,000","-508,000,000","-137,000,000","-122,000,000","-123,000,000","-313,000,000","-4,975,000,000","-368,000,000","-911,000,000","-24,000,000","-22,000,000"
			PurchaseOfBusiness,"-275,000,000","-388,000,000","-508,000,000","-137,000,000","-122,000,000","-123,000,000","-313,000,000","-4,975,000,000","-368,000,000","-911,000,000","-24,000,000","-22,000,000"
		NetInvestmentPurchaseAndSale,"-17,570,000,000","-14,520,000,000","-4,193,000,000","2,474,000,000","-13,250,000,000","-7,186,000,000","-6,700,000,000","1,243,000,000","-883,000,000","-4,876,000,000","-2,399,000,000","0"
			PurchaseOfInvestment,"-42,756,000,000","-40,291,000,000","-23,910,000,000","-14,656,000,000","-25,682,000,000","-22,341,000,000","-15,938,000,000","-9,104,000,000","-7,434,000,000","-10,309,000,000","-3,028,000,000","0"
			SaleOfInvestment,"25,186,000,000","25,771,000,000","19,717,000,000","17,130,000,000","12,432,000,000","15,155,000,000","9,238,000,000","10,347,000,000","6,551,000,000","5,433,000,000","629,000,000","0"
		NetOtherInvestingChanges,"190,000,000","-36,000,000","-61,000,000","-25,000,000","67,000,000","61,000,000","102,000,000","-350,000,000","-11,000,000","-2,000,000","6,000,000","-9,000,000"
FinancingCashFlow,"-19,852,000,000","-10,292,000,000","-7,299,000,000","-15,572,000,000","-5,235,000,000","-310,000,000","1,582,000,000","1,571,000,000","-667,000,000","6,283,000,000","1,198,000,000","781,000,000"
	CashFlowFromContinuingFinancingActivities,"-19,852,000,000","-10,292,000,000","-7,299,000,000","-15,572,000,000","-5,235,000,000","-310,000,000","1,582,000,000","1,571,000,000","-667,000,000","6,283,000,000","1,198,000,000","781,000,000"
		NetIssuancePaymentsOfDebt,"-625,000,000","-580,000,000","-775,000,000","500,000,000","0","-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","1,335,000,000","-431,000,000","160,000,000"
			NetLongTermDebtIssuance,"-669,000,000","-604,000,000","-552,000,000","0","0","-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","1,335,000,000","-431,000,000","160,000,000"
				LongTermDebtIssuance,,,,,,,,"0","0","1,701,000,000",,"250,000,000"
				LongTermDebtPayments,"-669,000,000","-604,000,000","-552,000,000","0","0","-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","-366,000,000","-431,000,000","-90,000,000"
			NetShortTermDebtIssuance,"44,000,000","24,000,000","-223,000,000","500,000,000",,,,,,,,
		NetCommonStockIssuance,"-14,672,000,000","-6,272,000,000","-4,202,000,000","-12,879,000,000","-1,976,000,000",,"0","0","1,478,000,000","6,760,000,000","998,000,000","500,000,000"
			CommonStockIssuance,,,,,,,"0","0","1,478,000,000","6,760,000,000","998,000,000","500,000,000"
			CommonStockPayments,"-14,672,000,000","-6,272,000,000","-4,202,000,000","-12,879,000,000","-1,976,000,000",,,,,,,
		NetPreferredStockIssuance,,,,,,,,,,,"0",
			PreferredStockIssuance,,,,,,,,,,,"0",
		ProceedsFromStockOptionExercised,,,,,,,"0","18,000,000","26,000,000","17,000,000","28,000,000","6,000,000"
		NetOtherFinancingCharges,"-4,555,000,000","-3,440,000,000","-2,322,000,000","-3,193,000,000","-3,259,000,000","2,000,000","1,701,000,000","1,796,000,000","-280,000,000","-1,829,000,000","603,000,000","115,000,000"
EndCashPosition,"16,234,000,000","17,954,000,000","19,279,000,000","10,124,000,000","8,079,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000"
	ChangesInCash,"-5,335,000,000","-1,604,000,000","9,151,000,000","2,099,000,000","-1,057,000,000","4,059,000,000","747,000,000","1,115,000,000","931,000,000","871,000,000","-276,000,000","1,155,000,000"
	EffectOfExchangeRateChanges,"277,000,000","279,000,000","4,000,000","-179,000,000","233,000,000","-63,000,000","-155,000,000","-123,000,000","8,000,000","1,000,000","3,000,000","-3,000,000"
	BeginningCashPosition,"21,569,000,000","19,279,000,000","10,124,000,000","8,204,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000","633,000,000"
IncomeTaxPaidSupplementalData,"9,273,000,000","4,229,000,000","5,182,000,000","3,762,000,000","2,117,000,000","1,210,000,000","273,000,000","184,000,000","82,000,000","53,000,000","197,000,000","261,000,000"
InterestPaidSupplementalData,,,,"1,000,000","0","11,000,000","10,000,000","14,000,000","38,000,000","38,000,000","28,000,000","23,000,000"
CapitalExpenditure,"-17,186,000,000","-15,115,000,000","-15,102,000,000","-13,915,000,000","-6,733,000,000","-4,491,000,000","-2,523,000,000","-1,831,000,000","-1,362,000,000","-1,235,000,000","-606,000,000","-293,000,000"
IssuanceOfCapitalStock,,,,,,,"0","0","1,478,000,000","6,760,000,000","998,000,000","500,000,000"
IssuanceOfDebt,,,,,,,,"0","0","1,701,000,000",,"250,000,000"
RepaymentOfDebt,"-669,000,000","-604,000,000","-552,000,000","0","0","-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","-366,000,000","-431,000,000","-90,000,000"
RepurchaseOfCapitalStock,"-14,672,000,000","-6,272,000,000","-4,202,000,000","-12,879,000,000","-1,976,000,000",,,,,,,
FreeCashFlow,"32,172,000,000","23,632,000,000","21,212,000,000","15,359,000,000","17,483,000,000","11,617,000,000","6,076,000,000","3,626,000,000","2,860,000,000","377,000,000","943,000,000","405,000,000"